iter	RMSE
0	4771.131202
1	4539.124423
2	4346.619512
3	4182.77518
4	4044.756005
5	3937.432721
6	3846.884739
7	3741.417715
8	3658.577744
9	3576.443902
10	3518.560709
11	3481.634781
12	3418.285395
13	3383.360824
14	3352.873908
15	3307.672235
16	3286.130502
17	3252.603841
18	3231.340246
19	3212.955725
20	3187.299197
21	3175.631792
22	3165.089809
23	3145.96573
24	3138.069426
25	3131.699528
26	3124.18977
27	3111.06441
28	3098.268486
29	3093.021025
30	3088.371583
31	3084.327707
32	3081.440427
33	3071.663586
34	3069.459752
35	3061.644749
36	3060.067492
37	3057.776978
38	3056.04913
39	3050.121499
40	3047.329959
41	3044.703547
42	3039.38799
43	3037.183843
44	3035.1285
45	3033.03511
46	3031.73578
47	3030.009079
48	3028.118433
49	3027.030127
50	3025.985061
51	3022.135287
52	3019.068701
53	3017.993264
54	3017.079063
55	3014.776274
56	3013.833532
57	3012.987326
58	3012.303507
59	3009.310292
60	3008.56672
61	3007.911799
62	3007.131239
63	3006.068533
64	3005.405064
65	3004.15662
66	3003.452564
67	3002.29871
68	3001.867275
69	3000.943732
70	2999.024586
71	2998.272286
72	2997.122783
73	2995.390783
74	2994.072839
75	2993.53561
76	2992.516081
77	2991.876215
78	2991.045232
79	2990.335688
80	2989.226794
81	2988.188659
82	2987.23576
83	2986.375683
84	2985.570664
85	2984.654784
86	2983.868531
87	2983.290322
88	2982.801468
89	2982.522246
90	2981.839276
91	2981.619718
92	2981.153332
93	2980.208199
94	2979.343793
95	2978.838118
96	2978.004324
97	2977.107072
98	2976.460318
99	2976.085178
100	2975.554111
101	2975.027402
102	2974.385322
103	2973.899636
104	2973.441176
105	2972.956287
106	2972.311794
107	2971.964025
108	2971.298322
109	2970.762202
110	2970.404777
111	2970.107242
112	2969.598219
113	2969.304073
114	2968.580895
115	2968.141842
116	2967.915226
117	2967.540268
118	2967.051765
119	2966.569302
120	2966.18346
121	2965.865813
122	2965.519548
123	2965.29066
124	2964.84786
125	2964.110349
126	2963.542427
127	2963.029195
128	2962.635114
129	2962.303802
130	2961.68303
131	2961.35191
132	2960.755004
133	2960.25348
134	2959.918504
135	2959.476956
136	2959.253427
137	2958.884468
138	2958.371997
139	2957.941013
140	2957.661499
141	2957.185548
142	2956.866548
143	2956.685081
144	2956.386031
145	2956.050596
146	2955.658954
147	2955.481798
148	2955.190562
149	2954.947972
150	2954.512072
151	2953.992809
152	2953.678898
153	2953.38818
154	2953.119622
155	2952.729613
156	2952.392637
157	2952.05825
158	2951.657037
159	2951.451723
160	2951.010901
161	2950.583853
162	2950.171481
163	2949.838377
164	2949.501748
165	2949.234681
166	2948.970645
167	2948.391545
168	2948.025924
169	2947.866686
170	2947.607184
171	2947.305661
172	2946.753203
173	2946.585321
174	2946.246323
175	2946.016255
176	2945.688003
177	2945.425138
178	2945.170319
179	2944.923237
180	2944.749537
181	2944.56162
182	2944.273621
183	2943.818115
184	2943.600317
185	2943.327359
186	2943.071306
187	2942.768185
188	2942.459458
189	2942.237973
190	2942.015108
191	2941.820522
192	2941.593969
193	2941.378555
194	2940.998832
195	2940.733911
196	2940.526219
197	2940.263402
198	2940.143148
199	2939.960819
200	2939.694032
201	2939.405797
202	2939.151524
203	2938.983831
204	2938.801013
205	2938.681172
206	2938.483162
207	2938.298966
208	2938.069484
209	2937.925073
210	2937.771477
211	2937.262732
212	2936.880983
213	2936.438498
214	2936.016736
215	2935.807665
216	2935.624665
217	2935.496679
218	2935.302349
219	2935.007919
220	2934.882022
221	2934.667148
222	2934.466716
223	2934.236963
224	2933.838358
225	2933.679321
226	2933.497695
227	2933.344373
228	2933.195677
229	2933.018854
230	2932.967
231	2932.679686
232	2932.272333
233	2932.135792
234	2931.985134
235	2931.745915
236	2931.383261
237	2931.186744
238	2931.079719
239	2930.842232
240	2930.619587
241	2930.503044
242	2930.280733
243	2930.128975
244	2929.978966
245	2929.758658
246	2929.333726
247	2929.240216
248	2929.036264
249	2928.837757
250	2928.532811
251	2928.4081
252	2928.148825
253	2927.904584
254	2927.725385
255	2927.551121
256	2927.377701
257	2927.247658
258	2927.010132
259	2926.8234
260	2926.662049
261	2926.507356
262	2926.398075
263	2926.262266
264	2926.054405
265	2925.876419
266	2925.695
267	2925.438321
268	2925.280263
269	2925.091793
270	2924.961931
271	2924.872
272	2924.750429
273	2924.568459
274	2924.453723
275	2924.215682
276	2923.921624
277	2923.594266
278	2923.398707
279	2923.281949
280	2923.175957
281	2922.850612
282	2922.701534
283	2922.584195
284	2922.454972
285	2922.316198
286	2922.078956
287	2921.83133
288	2921.743697
289	2921.516237
290	2921.396956
291	2921.248989
292	2921.067697
293	2920.89868
294	2920.725943
295	2920.564052
296	2920.388736
297	2920.270484
298	2920.09905
299	2919.943653
300	2919.800411
301	2919.603642
302	2919.407412
303	2919.244102
304	2919.16125
305	2919.007658
306	2918.852227
307	2918.750103
308	2918.61675
309	2918.424232
310	2918.268478
311	2918.17385
312	2917.952696
313	2917.805107
314	2917.626379
315	2917.542107
316	2917.362372
317	2917.133514
318	2916.896706
319	2916.747043
320	2916.642525
321	2916.512188
322	2916.413442
323	2916.299588
324	2916.244939
325	2916.079038
326	2915.948452
327	2915.807497
328	2915.473043
329	2915.401822
330	2915.252234
331	2915.082322
332	2915.016326
333	2914.882167
334	2914.782203
335	2914.741001
336	2914.605989
337	2914.485734
338	2914.399902
339	2914.280635
340	2913.994475
341	2913.806715
342	2913.697568
343	2913.445739
344	2913.287224
345	2913.143849
346	2912.906584
347	2912.697138
348	2912.652648
349	2912.559532
350	2912.474808
351	2912.395097
352	2912.30967
353	2912.131638
354	2912.028403
355	2911.853287
356	2911.735111
357	2911.620049
358	2911.448584
359	2911.331546
360	2911.280114
361	2911.105017
362	2911.024327
363	2910.946928
364	2910.852055
365	2910.688096
366	2910.606417
367	2910.440535
368	2910.315474
369	2910.177244
370	2909.985701
371	2909.887729
372	2909.767434
373	2909.641218
374	2909.527671
375	2909.446781
376	2909.4241
377	2909.294982
378	2909.150847
379	2909.037595
380	2908.95575
381	2908.848361
382	2908.755994
383	2908.676497
384	2908.526311
385	2908.388517
386	2908.309513
387	2908.195922
388	2908.146452
389	2908.053119
390	2907.900492
391	2907.573561
392	2907.407958
393	2907.322387
394	2907.158115
395	2906.994817
396	2906.871659
397	2906.775634
398	2906.698235
399	2906.62672
400	2906.423297
401	2906.353078
402	2906.216779
403	2906.137457
404	2906.039099
405	2905.919932
406	2905.799041
407	2905.722033
408	2905.606266
409	2905.46681
410	2905.275856
411	2905.239481
412	2905.118326
413	2905.015966
414	2904.903647
415	2904.777801
416	2904.683078
417	2904.603063
418	2904.493921
419	2904.316365
420	2904.172933
421	2904.001013
422	2903.730789
423	2903.635648
424	2903.53405
425	2903.448586
426	2903.050388
427	2902.974958
428	2902.875218
429	2902.790836
430	2902.655647
431	2902.587575
432	2902.486873
433	2902.458177
434	2902.335618
435	2902.245559
436	2902.175814
437	2902.090593
438	2901.909299
439	2901.812779
440	2901.712164
441	2901.62917
442	2901.556605
443	2901.433129
444	2901.353529
445	2901.212197
446	2901.151205
447	2901.057614
448	2900.915637
449	2900.799045
450	2900.726552
451	2900.593379
452	2900.490389
453	2900.352693
454	2900.20911
455	2900.093887
456	2900.011477
457	2899.932273
458	2899.868902
459	2899.741657
460	2899.645908
461	2899.516557
462	2899.422922
463	2899.311146
464	2899.187981
465	2899.068588
466	2898.823025
467	2898.726371
468	2898.589016
469	2898.514677
470	2898.387418
471	2898.29396
472	2898.161836
473	2898.045181
474	2897.997854
475	2897.920725
476	2897.855863
477	2897.756154
478	2897.698942
479	2897.596534
480	2897.476625
481	2897.400383
482	2897.193808
483	2896.966799
484	2896.818128
485	2896.712985
486	2896.572487
487	2896.524698
488	2896.431027
489	2896.347198
490	2896.258457
491	2896.186748
492	2896.102257
493	2896.071558
494	2895.965792
495	2895.896491
496	2895.842765
497	2895.75608
498	2895.662309
499	2895.612679
500	2895.546587
501	2895.464408
502	2895.358536
503	2895.199012
504	2895.130387
505	2895.010673
506	2894.984569
507	2894.929395
508	2894.87198
509	2894.792008
510	2894.689132
511	2894.571645
512	2894.43377
513	2894.368045
514	2894.249121
515	2894.151733
516	2894.056873
517	2893.989548
518	2893.944213
519	2893.907204
520	2893.854773
521	2893.791635
522	2893.65634
523	2893.570408
524	2893.493982
525	2893.331757
526	2893.234257
527	2893.178996
528	2893.06682
529	2892.972964
530	2892.90055
531	2892.831894
532	2892.77374
533	2892.648999
534	2892.592535
535	2892.515095
536	2892.404601
537	2892.28445
538	2892.213455
539	2892.158247
540	2892.054488
541	2891.945734
542	2891.869537
543	2891.829439
544	2891.733299
545	2891.658242
546	2891.498104
547	2891.302434
548	2891.142348
549	2891.050327
550	2890.974713
551	2890.91802
552	2890.830776
553	2890.759171
554	2890.666131
555	2890.581041
556	2890.468206
557	2890.388642
558	2890.21994
559	2890.140877
560	2890.078758
561	2889.995475
562	2889.856552
563	2889.797491
564	2889.745938
565	2889.652859
566	2889.573436
567	2889.524332
568	2889.417616
569	2889.336464
570	2889.289091
571	2889.235533
572	2889.148505
573	2889.075136
574	2888.974607
575	2888.934794
576	2888.83801
577	2888.752076
578	2888.656213
579	2888.573284
580	2888.507693
581	2888.427479
582	2888.334781
583	2888.283995
584	2888.134181
585	2888.01608
586	2887.880036
587	2887.791322
588	2887.770195
589	2887.696685
590	2887.56478
591	2887.517338
592	2887.473814
593	2887.412101
594	2887.341629
595	2887.300824
596	2887.173989
597	2887.083483
598	2887.039985
599	2886.977493
600	2886.899949
601	2886.837581
602	2886.735239
603	2886.706178
604	2886.637556
605	2886.551751
606	2886.467326
607	2886.405075
608	2886.324828
609	2886.215804
610	2886.141584
611	2886.059502
612	2886.004973
613	2885.914722
614	2885.854234
615	2885.81544
616	2885.784757
617	2885.689233
618	2885.575493
619	2885.553958
620	2885.505027
621	2885.419775
622	2885.318314
623	2885.202918
624	2885.139526
625	2885.075957
626	2885.016463
627	2884.948569
628	2884.877732
629	2884.859178
630	2884.796817
631	2884.738884
632	2884.661911
633	2884.572824
634	2884.493617
635	2884.439297
636	2884.380133
637	2884.274345
638	2884.185963
639	2884.140025
640	2884.064537
641	2883.999732
642	2883.893946
643	2883.834085
644	2883.792511
645	2883.743444
646	2883.721629
647	2883.675926
648	2883.565575
649	2883.494734
650	2883.418357
651	2883.374507
652	2883.259496
653	2883.203198
654	2883.115792
655	2883.086457
656	2883.008323
657	2882.917447
658	2882.847472
659	2882.788976
660	2882.739231
661	2882.699824
662	2882.554186
663	2882.486427
664	2882.40702
665	2882.348689
666	2882.251953
667	2882.184892
668	2882.132336
669	2882.073319
670	2882.018312
671	2881.958877
672	2881.877535
673	2881.789552
674	2881.718051
675	2881.654626
676	2881.586357
677	2881.537368
678	2881.482866
679	2881.389211
680	2881.330013
681	2881.261473
682	2881.202322
683	2881.16539
684	2881.048347
685	2880.980025
686	2880.927724
687	2880.853754
688	2880.736283
689	2880.605391
690	2880.537614
691	2880.478208
692	2880.439292
693	2880.377051
694	2880.276366
695	2880.193615
696	2880.103076
697	2880.047939
698	2879.965002
699	2879.684173
700	2879.631653
701	2879.587262
702	2879.517442
703	2879.450896
704	2879.397292
705	2879.358213
706	2879.319199
707	2879.226902
708	2879.181479
709	2879.127086
710	2879.070215
711	2879.008095
712	2878.922091
713	2878.850405
714	2878.802195
715	2878.764806
716	2878.677169
717	2878.621822
718	2878.550099
719	2878.484912
720	2878.437025
721	2878.359166
722	2878.307259
723	2878.242086
724	2878.146526
725	2878.09335
726	2878.002772
727	2877.89902
728	2877.862846
729	2877.847723
730	2877.730309
731	2877.634243
732	2877.604307
733	2877.525932
734	2877.48681
735	2877.331507
736	2877.266674
737	2877.247834
738	2877.191216
739	2877.14
740	2877.075121
741	2877.023353
742	2876.950446
743	2876.858701
744	2876.759651
745	2876.699827
746	2876.605269
747	2876.502157
748	2876.485434
749	2876.466414
750	2876.445485
751	2876.390702
752	2876.338877
753	2876.270161
754	2876.198159
755	2876.114036
756	2876.03404
757	2875.942083
758	2875.901789
759	2875.868489
760	2875.844823
761	2875.781691
762	2875.716811
763	2875.675732
764	2875.59673
765	2875.549707
766	2875.435352
767	2875.356468
768	2875.290724
769	2875.21286
770	2875.164905
771	2875.068974
772	2874.969658
773	2874.909593
774	2874.860299
775	2874.837661
776	2874.780225
777	2874.712579
778	2874.635612
779	2874.618472
780	2874.554131
781	2874.484514
782	2874.413489
783	2874.365926
784	2874.288129
785	2874.232789
786	2874.167655
787	2874.101553
788	2874.031503
789	2873.930578
790	2873.869093
791	2873.793846
792	2873.726997
793	2873.700475
794	2873.62117
795	2873.552059
796	2873.474459
797	2873.380006
798	2873.292933
799	2873.218053
800	2873.125819
801	2873.045108
802	2872.99911
803	2872.935215
804	2872.864501
805	2872.77564
806	2872.710382
807	2872.664277
808	2872.633305
809	2872.552176
810	2872.497429
811	2872.427847
812	2872.384169
813	2872.296904
814	2872.237529
815	2872.195745
816	2872.133542
817	2872.109228
818	2872.071155
819	2872.016883
820	2871.980256
821	2871.896071
822	2871.82516
823	2871.751624
824	2871.692325
825	2871.643466
826	2871.588972
827	2871.526517
828	2871.488594
829	2871.45774
830	2871.400105
831	2871.350684
832	2871.322374
833	2871.276996
834	2871.241421
835	2871.181283
836	2871.136298
837	2871.08042
838	2871.040892
839	2870.93903
840	2870.854348
841	2870.807031
842	2870.770055
843	2870.700067
844	2870.650298
845	2870.597442
846	2870.49045
847	2870.410856
848	2870.392513
849	2870.318658
850	2870.256201
851	2870.202769
852	2870.16042
853	2870.093823
854	2870.01326
855	2869.956378
856	2869.948309
857	2869.880199
858	2869.826015
859	2869.773438
860	2869.719863
861	2869.656496
862	2869.63314
863	2869.598374
864	2869.571817
865	2869.522366
866	2869.505758
867	2869.456858
868	2869.376371
869	2869.334273
870	2869.214535
871	2869.146097
872	2869.086414
873	2869.029231
874	2868.975847
875	2868.82502
876	2868.74558
877	2868.668729
878	2868.595341
879	2868.544419
880	2868.511185
881	2868.45746
882	2868.426171
883	2868.382449
884	2868.326149
885	2868.192008
886	2868.147926
887	2868.102141
888	2868.037049
889	2868.009297
890	2867.975456
891	2867.93459
892	2867.887501
893	2867.821908
894	2867.772494
895	2867.726179
896	2867.67906
897	2867.604592
898	2867.546509
899	2867.496537
900	2867.463848
901	2867.41667
902	2867.360691
903	2867.310853
904	2867.249059
905	2867.230699
906	2867.106552
907	2867.047776
908	2867.010066
909	2866.948195
910	2866.773149
911	2866.732541
912	2866.668125
913	2866.629016
914	2866.611804
915	2866.563247
916	2866.514463
917	2866.437507
918	2866.362276
919	2866.302103
920	2866.266305
921	2866.217993
922	2866.186822
923	2866.13545
924	2866.037364
925	2865.991845
926	2865.921979
927	2865.863885
928	2865.804129
929	2865.746873
930	2865.675418
931	2865.58589
932	2865.536818
933	2865.472421
934	2865.442099
935	2865.408107
936	2865.388865
937	2865.368088
938	2865.290298
939	2865.260454
940	2865.197419
941	2865.163831
942	2865.132757
943	2865.081931
944	2864.982481
945	2864.951083
946	2864.926809
947	2864.850698
948	2864.788
949	2864.708864
950	2864.690745
951	2864.644047
952	2864.562416
953	2864.517629
954	2864.474255
955	2864.420658
956	2864.403357
957	2864.332824
958	2864.265417
959	2864.218471
960	2864.188957
961	2864.119634
962	2864.078459
963	2863.972767
964	2863.93023
965	2863.876382
966	2863.734197
967	2863.714609
968	2863.653227
969	2863.628985
970	2863.592237
971	2863.553443
972	2863.516498
973	2863.478498
974	2863.418551
975	2863.380243
976	2863.318691
977	2863.245441
978	2863.19149
979	2863.120893
980	2863.093705
981	2863.031845
982	2862.967355
983	2862.917506
984	2862.847969
985	2862.793919
986	2862.713625
987	2862.672939
988	2862.622793
989	2862.560584
990	2862.527409
991	2862.483576
992	2862.427874
993	2862.374584
994	2862.338532
995	2862.252329
996	2862.173331
997	2862.140454
998	2862.077175
999	2862.049804
