iter	Passed	Remaining
0	31	31963
1	62	30951
2	90	30155
3	121	30216
4	156	31046
5	182	30252
6	210	29896
7	236	29296
8	263	29036
9	294	29133
10	321	28908
11	349	28757
12	379	28798
13	407	28665
14	434	28556
15	461	28378
16	489	28276
17	515	28125
18	548	28328
19	578	28339
20	608	28379
21	637	28360
22	667	28359
23	692	28176
24	718	28033
25	743	27844
26	766	27630
27	790	27435
28	814	27262
29	838	27122
30	860	26911
31	884	26744
32	906	26575
33	932	26486
34	955	26350
35	983	26341
36	1015	26423
37	1043	26411
38	1073	26455
39	1097	26350
40	1121	26227
41	1142	26065
42	1166	25951
43	1188	25831
44	1212	25740
45	1235	25613
46	1258	25520
47	1279	25380
48	1299	25226
49	1321	25111
50	1342	24972
51	1366	24915
52	1386	24774
53	1407	24664
54	1431	24587
55	1452	24477
56	1474	24392
57	1494	24268
58	1514	24157
59	1533	24026
60	1556	23963
61	1583	23961
62	1607	23913
63	1634	23905
64	1654	23799
65	1676	23721
66	1697	23637
67	1719	23572
68	1740	23483
69	1759	23374
70	1780	23294
71	1802	23229
72	1821	23129
73	1842	23053
74	1863	22980
75	1882	22891
76	1903	22821
77	1924	22754
78	1944	22665
79	1965	22601
80	1986	22540
81	2005	22453
82	2027	22399
83	2049	22351
84	2068	22265
85	2090	22221
86	2112	22169
87	2137	22153
88	2160	22117
89	2182	22070
90	2206	22044
91	2231	22028
92	2255	21999
93	2281	21991
94	2308	21987
95	2332	21964
96	2358	21959
97	2382	21928
98	2406	21898
99	2429	21869
100	2455	21857
101	2482	21853
102	2504	21807
103	2527	21771
104	2553	21763
105	2578	21745
106	2604	21732
107	2627	21700
108	2648	21649
109	2671	21613
110	2689	21542
111	2711	21499
112	2733	21458
113	2758	21437
114	2780	21395
115	2800	21343
116	2821	21297
117	2841	21235
118	2862	21189
119	2883	21143
120	2902	21083
121	2922	21033
122	2946	21006
123	2972	20998
124	2998	20987
125	3024	20980
126	3051	20974
127	3076	20961
128	3100	20937
129	3125	20914
130	3150	20898
131	3176	20887
132	3200	20862
133	3226	20850
134	3250	20825
135	3273	20797
136	3293	20747
137	3315	20707
138	3338	20682
139	3361	20650
140	3382	20604
141	3402	20558
142	3424	20525
143	3446	20484
144	3469	20457
145	3490	20414
146	3513	20390
147	3538	20372
148	3562	20345
149	3588	20333
150	3613	20315
151	3633	20273
152	3657	20245
153	3676	20198
154	3697	20156
155	3715	20103
156	3735	20057
157	3756	20016
158	3774	19964
159	3798	19940
160	3825	19936
161	3848	19906
162	3871	19877
163	3892	19840
164	3914	19807
165	3934	19769
166	3953	19720
167	3977	19695
168	3996	19650
169	4016	19610
170	4035	19563
171	4058	19538
172	4085	19530
173	4107	19498
174	4128	19462
175	4151	19434
176	4174	19409
177	4196	19378
178	4216	19338
179	4236	19299
180	4257	19262
181	4276	19222
182	4296	19181
183	4319	19155
184	4344	19140
185	4368	19116
186	4390	19087
187	4418	19085
188	4444	19071
189	4470	19058
190	4496	19043
191	4521	19029
192	4553	19038
193	4584	19047
194	4615	19055
195	4640	19036
196	4664	19011
197	4692	19005
198	4717	18988
199	4740	18962
200	4764	18941
201	4787	18913
202	4811	18890
203	4837	18874
204	4870	18889
205	4900	18887
206	4928	18880
207	4956	18872
208	4984	18863
209	5011	18851
210	5037	18837
211	5066	18831
212	5115	18899
213	5143	18889
214	5168	18870
215	5193	18850
216	5217	18826
217	5242	18805
218	5269	18792
219	5295	18775
220	5321	18758
221	5353	18762
222	5384	18762
223	5412	18750
224	5441	18743
225	5472	18741
226	5501	18734
227	5528	18720
228	5561	18723
229	5591	18718
230	5626	18731
231	5653	18713
232	5676	18687
233	5702	18667
234	5726	18640
235	5750	18615
236	5772	18584
237	5796	18560
238	5819	18528
239	5842	18501
240	5866	18476
241	5892	18456
242	5916	18430
243	5941	18409
244	5969	18394
245	5996	18380
246	6021	18357
247	6044	18329
248	6065	18292
249	6084	18253
250	6106	18223
251	6125	18182
252	6147	18149
253	6170	18122
254	6191	18088
255	6213	18058
256	6233	18020
257	6253	17984
258	6273	17948
259	6294	17916
260	6316	17885
261	6340	17860
262	6361	17827
263	6384	17799
264	6407	17771
265	6430	17745
266	6451	17711
267	6470	17674
268	6491	17641
269	6512	17607
270	6536	17584
271	6563	17567
272	6590	17551
273	6615	17527
274	6637	17497
275	6658	17466
276	6677	17429
277	6698	17396
278	6718	17361
279	6739	17330
280	6759	17296
281	6780	17264
282	6802	17235
283	6824	17205
284	6846	17177
285	6868	17148
286	6888	17113
287	6909	17082
288	6930	17050
289	6956	17030
290	6978	17002
291	6999	16970
292	7019	16936
293	7038	16902
294	7059	16871
295	7079	16836
296	7099	16805
297	7119	16772
298	7140	16741
299	7162	16712
300	7188	16692
301	7212	16670
302	7238	16651
303	7263	16630
304	7285	16602
305	7305	16569
306	7330	16546
307	7351	16517
308	7371	16485
309	7395	16460
310	7416	16430
311	7437	16401
312	7458	16369
313	7481	16344
314	7503	16316
315	7529	16297
316	7555	16278
317	7580	16258
318	7604	16233
319	7626	16205
320	7646	16174
321	7666	16142
322	7686	16111
323	7708	16083
324	7728	16051
325	7749	16022
326	7770	15991
327	7789	15959
328	7811	15931
329	7833	15903
330	7853	15873
331	7874	15842
332	7894	15812
333	7919	15791
334	7940	15763
335	7968	15746
336	7988	15717
337	8010	15688
338	8032	15661
339	8052	15631
340	8074	15603
341	8091	15567
342	8114	15542
343	8135	15514
344	8159	15491
345	8181	15464
346	8201	15434
347	8222	15404
348	8241	15373
349	8264	15347
350	8284	15318
351	8307	15292
352	8328	15264
353	8352	15242
354	8374	15215
355	8397	15190
356	8420	15165
357	8440	15137
358	8463	15111
359	8486	15086
360	8515	15072
361	8545	15060
362	8573	15044
363	8595	15018
364	8618	14993
365	8639	14964
366	8660	14937
367	8680	14907
368	8699	14876
369	8720	14847
370	8742	14822
371	8763	14794
372	8786	14769
373	8807	14742
374	8828	14713
375	8849	14686
376	8869	14656
377	8890	14630
378	8912	14602
379	8933	14575
380	8956	14551
